prompt_hash	spirit_id	source	tier	text
9c2259c9	25	canonical	tier-paraphrase	Glasya-Labolas. (25.) Glasya-Labolas. —The Twenty-fifth Spirit is Glasya-Labolas. He is a Mighty President and Earl, and showeth himself in the form of a Dog with Wings like a Gryphon. He teacheth all Arts and Sciences in an instant, and is an Author of Bloodshed and Manslaughter. He teacheth all things Past, and to Come. If desired he causeth the love both of Friends and of Foes. He can make a Man to go Invisible. And he hath under his command 36 Legions of Spirits. His Seal is this, to be, etc.
5c3bfd07	25	canonical	tier-paraphrase	Glasya-Labolas Glasya-Labolas. He can make a Man to go Invisible.
8fefd693	26	canonical	tier-paraphrase	Bune. (26.) Bune , or Bimé .—The Twenty-sixth Spirit is Buné (or Bim). He is a Strong, Great and Mighty Duke. He appeareth in the form of a Dragon with three heads, one like a Dog, one like a Gryphon, and one like a Man. He speaketh with a high and comely Voice. He changeth the Place of the Dead, and causeth the Spirits which be under him to gather together upon your Sepulchres. He giveth Riches unto a Man, and maketh him Wise and Eloquent. He giveth true Answers unto Demands. And he governeth 30 Legions of Spirits. His Seal is this, unto the which he oweth Obedience. He hath another Seal (which is the first of these, [16] but the last is the best). [17]
7cdc96ed	26	canonical	tier-paraphrase	Bune Bune Bimé. He giveth Riches unto a Man, and maketh him Wise and Eloquent.
05882fb1	27	canonical	tier-paraphrase	Ronové. (27.) Ronové. —The Twenty-seventh Spirit is Ronové. He appeareth in the Form of a Monster. He teacheth the Art of Rhetoric very well and giveth Good Servants, Knowledge of Tongues, and Favours with Friends or Foes. He is a Marquis and Great Earl; and there be under his command 19 Legions of Spirits. His Seal is this, etc.
b0e60f15	27	canonical	tier-paraphrase	Ronové Ronové. He teacheth the Art of Rhetoric very well and giveth Good Servants, Knowledge of Tongues, and Favours with Friends or Foes.
34bff353	28	canonical	tier-paraphrase	Berith. (28.) Berith. —The Twenty-eighth Spirit in Order, as Solomon bound them, is named Berith. He is a Mighty, Great, and Terrible Duke. He hath two other Names given unto him by men of later times, viz.: Beale , or Beal , and Bofry or Bolfry . He appeareth in the Form of a Soldier with Red Clothing, riding upon a Red Horse, and having a Crown of Gold upon his head. He giveth true answers, Past, Present, and to Come. Thou must make use of a Ring in calling him forth, as is before spoken of regarding Beleth. [18] He can turn all metals into Gold. He can give Dignities, and can confirm them unto Man. He speaketh with a very clear and subtle Voice. He governeth 26 Legions of Spirits. His Seal is this, etc.
0e9d6d41	28	canonical	tier-paraphrase	Berith Berith. He giveth true answers, Past, Present, and to Come.
68d70975	29	canonical	tier-paraphrase	Astaroth. (29.) Astaroth. —The Twenty-ninth Spirit is Astaroth. He is a Mighty, Strong Duke, and appeareth in the Form of an hurtful Angel riding on an Infernal Beast like a Dragon, and carrying in his right hand a Viper. Thou must in no wise let him approach too near unto thee, lest he do thee damage by his Noisome Breath. Wherefore the Magician must hold the Magical Ring near his face, and that will defend him. He giveth true answers of things Past, Present, and to Come, and can discover all Secrets. He will declare wittingly how the Spirits fell, if desired, and the reason of his own fall. He can make men wonderfully knowing in all Liberal Sciences. He ruleth 40 Legions of Spirits. His Seal is this, which wear thou as a Lamen before thee, or else he will not appear nor yet obey thee, etc.
1d06fc63	29	canonical	tier-paraphrase	Astaroth Astaroth. He giveth true answers of things Past, Present, and to Come, and can discover all Secrets.
1858f38f	30	canonical	tier-paraphrase	Forneus. (30.) Forneus. —The Thirtieth Spirit is Forneus. He is a Mighty and Great Marquis, and appeareth in the Form of a Great Sea-Monster. He teacheth, and maketh men wonderfully knowing in the Art of Rhetoric. He causeth men to have a Good Name, and to have the knowledge and understanding of Tongues. He maketh one to be beloved of his Foes as well as of his Friends. He governeth 29 Legions of Spirits, partly of the Order of Thrones, and partly of that of Angels. His Seal is this, which wear thou, etc.
8a68938d	30	canonical	tier-paraphrase	Forneus Forneus. He teacheth, and maketh men wonderfully knowing in the Art of Rhetoric.
ff8dbf1b	31	canonical	tier-paraphrase	Foras. (31.) Foras. —The Thirty-first Spirit is Foras. He is a Mighty President, and appeareth in the Form of a Strong Man in Human Shape. He can give the understanding to Men how they may know the Virtues of all Herbs and Precious Stones. He teacheth the Arts of Logic and Ethics in all their parts. If desired he maketh men invisible, [19] and to live long, and to be eloquent. He can discover Treasures and recover things Lost. He ruleth over 29 Legions of Spirits, and his Seal is this, which wear thou, etc.
bb671735	31	canonical	tier-paraphrase	Foras Foras. If desired he maketh men invisible, [19] and to live long, and to be eloquent.
22636805	32	canonical	tier-paraphrase	Asmoday. (32.) Asmoday. —The Thirty-second Spirit is Asmoday, or Asmodai. He is a Great King, Strong, and Powerful. He appeareth with Three Heads, whereof the first is like a Bull, the second like a Man, and the third like a Ram; he hath also the tail of a Serpent, and from his mouth issue Flames of Fire. His Feet are webbed like those of a Goose. He sitteth upon an Infernal Dragon, and beareth in his hand a Lance with a Banner. He is first and choicest under the Power of Amaymon , he goeth before all other. When the Exorcist hath a mind to call him, let it be abroad, and let him stand on his feet all the time of action, with his Cap or Head-dress off; for if it be on, Amaymon will deceive him and call all his actions to be bewrayed. But as soon as the Exorcist seeth Asmoday in the shape aforesaid, he shall call him by his Name, saying: “Art thou Asmoday?” and he will not deny it, and by-and-by he will bow down unto the ground. He giveth the Ring of Virtues; he teacheth the Arts of Arithmetic, Astronomy, Geometry, and all handicrafts absolutely. He giveth true and full answers unto thy demands. He maketh one Invincible. He showeth the place where Treasures lie, and guardeth it. He, amongst the Legions of Amaymon governeth 72 Legions of Spirits Inferior. His Seal is this which thou must wear as a Lamen upon thy breast, etc.
f71d17bd	32	canonical	tier-paraphrase	Asmoday Asmoday. He maketh one Invincible.
4f1da423	33	canonical	tier-paraphrase	Gaap. (33.) Gaap. —The Thirty-third Spirit is Gäap. He is a Great President and a Mighty Prince. He appeareth when the Sun is in some of the Southern Signs, in a Human Shape, going before Four Great and Mighty Kings, as if he were a Guide to conduct them along on their way. His Office is to make men Insensible or Ignorant; as also in Philosophy to make them Knowing, and in all the Liberal Sciences. He can cause Love or Hatred, also he can teach thee to consecrate those things that belong to the Dominion of Amaymon his King. He can deliver Familiars out of the Custody of other Magicians, and answereth truly and perfectly of things Past, Present, and to Come. He can carry and re-carry men very speedily from one Kingdom to another, at the Will and Pleasure of the Exorcist. He ruleth over 66 Legions of Spirits, and he was of the Order of Potentates. His Seal is this to be made and to be worn as aforesaid, etc.
9a55f9cb	33	canonical	tier-paraphrase	Gaap Gaap. His Office is to make men Insensible or Ignorant
afe5c47b	34	canonical	tier-paraphrase	Furfur. (34.) Furfur. —The Thirty-fourth Spirit is Furfur. He is a Great and Mighty Earl, appearing in the Form of an Hart with a Fiery Tail. He never speaketh truth unless he be compelled, or brought up within a triangle, △. Being therein, he will take upon himself the Form of an Angel. Being bidden, he speaketh with a hoarse voice. Also he will wittingly urge Love between Man and Woman. He can raise Lightnings and Thunders, Blasts, and Great Tempestuous Storms. And he giveth True Answers both of Things Secret and Divine, if commanded. He ruleth over 26 Legions of Spirits. And his Seal is this, etc.
d59cc46d	34	canonical	tier-paraphrase	Furfur Furfur. And he giveth True Answers both of Things Secret and Divine, if commanded.
2b17dea5	35	canonical	tier-paraphrase	Marchosias. (35.) Marchosias. —The Thirty-fifth Spirit is Marchosias. He is a Great and Mighty Marquis, appearing at first in the Form of a Wolf [20] having Gryphon’s Wings, and a Serpent’s Tail, and Vomiting Fire out of his mouth. But after a time, at the command of the Exorcist he putteth on the Shape of a Man. And he is a strong fighter. He was of the Order of Dominations. He governeth 30 Legions of Spirits. He told his Chief, who was Solomon, that after 1,200 years he had hopes to return unto the Seventh Throne. And his Seal is this, to be made and worn as a Lamen, etc.
19e808f1	35	canonical	tier-paraphrase	Marchosias Marchosias. Marchosias has an office described in the Goetia
b558d65d	36	canonical	tier-paraphrase	Stolas. (36.) Stolas, or Stolos. —The Thirty-sixth Spirit is Stolas, or Stolos. He is a Great and Powerful Prince, appearing in the Shape of a Mighty Raven at first before the Exorcist; but after he taketh the image of a Man. He teacheth the Art of Astronomy, and the Virtues of Herbs and Precious Stones. He governeth 26 Legions of Spirits; and his Seal is this, which is, etc.
ccbcba13	36	canonical	tier-paraphrase	Stolas Stolas or Stolos. He teacheth the Art of Astronomy, and the Virtues of Herbs and Precious Stones.
61aa48db	37	canonical	tier-paraphrase	Phenex. (37.) Phenex. —The Thirty-Seventh Spirit is Phenex (or Pheynix). He is a great Marquis, and appeareth like the Bird Phœnix, having the Voice of a Child. He singeth many sweet notes before the Exorcist, which he must not regard, but by-and-by he must bid him put on Human Shape. Then he will speak marvellously of all wonderful Sciences if required. He is a Poet, good and excellent. And he will be willing to perform thy requests. He hath hopes also to return to the Seventh Throne after 1,200 years more, as he said unto Solomon. He governeth 20 Legions of Spirits. And his Seal is this, which wear thou, etc.
4c292fbf	37	canonical	tier-paraphrase	Phenex Phenex. Phenex has an office described in the Goetia
53267cf5	38	canonical	tier-paraphrase	Halphas. (38.) Halphas , or Malthus .—The Thirty-eighth Spirit is Halphas, or Malthous (or Malthas). He is a Great Earl, and appeareth in the Form of a Stock-Dove. He speaketh with a hoarse Voice. His Office is to build up Towers, and to furnish them with Ammunition and Weapons, and to send Men-of-War [21] to places appointed. He ruleth over 26 Legions of Spirits, and his Seal is this, etc.
9707f8fb	38	canonical	tier-paraphrase	Halphas Halphas Malthus. His Office is to build up Towers, and to furnish them with Ammunition and Weapons, and to send Men-of-War [21] to places appointed.
26e6d571	39	canonical	tier-paraphrase	Malphas. (39.) Malphas. —The Thirty-ninth Spirit is Malphas. He appeareth at first like a Crow, but after he will put on Human Shape at the request of the Exorcist, and speak with a hoarse Voice. He is a Mighty President and Powerful. He can build Houses and High Towers, and can bring to thy Knowledge Enemies’ Desires and Thoughts, and that which they have done. He giveth Good Familiars. If thou makest a Sacrifice unto him he will receive it kindly and willingly, but he will deceive him that doth it. He governeth 40 Legions of Spirits, and his Seal is this, etc.
d728ac89	39	canonical	tier-paraphrase	Malphas Malphas. He giveth Good Familiars.
9ef9aa89	40	canonical	tier-paraphrase	Raum. (40.) Raum. —The Fortieth Spirit is Räum. He is a Great Earl; and appeareth at first in the Form of a Crow, but after the Command of the Exorcist he putteth on Human Shape. His office is to steal Treasures out King’s Houses, and to carry it whither he is commanded, and to destroy Cities and Dignities of Men, and to tell all things, Past, and What Is, and what Will Be; and to cause Love between Friends and Foes. He was of the Order of Thrones. He governeth 30 Legions of Spirits; and his Seal is this, which wear thou as aforesaid.
c8fd9df9	40	canonical	tier-paraphrase	Raum Raum. His office is to steal Treasures out King’s Houses, and to carry it whither he is commanded, and to destroy Cities and Dignities of Men, and to tell all things, Past, and What Is, and what Will Be
412b7dc9	41	canonical	tier-paraphrase	Focalor. (41.) Focalor. —The Forty-first Spirit is Focalor, or Forcalor, or Furcalor. He is a Mighty Duke and Strong. He appeareth in the Form of a Man with Gryphon’s Wings. His office is to slay Men, and to drown them in the Waters, and to overthrow Ships of War, for he hath Power over both Winds and Seas; but he will not hurt any man or thing if he be commanded to the contrary by the Exorcist. He also hath hopes to return to the Seventh Throne after 1,000 years. He governeth 30 Legions of Spirits, and his Seal is this, etc.
c3a69a9b	41	canonical	tier-paraphrase	Focalor Focalor. His office is to slay Men, and to drown them in the Waters, and to overthrow Ships of War, for he hath Power over both Winds and Seas
a449b2a1	42	canonical	tier-paraphrase	Vepar. (42.) Vepar. —The Forty-second Spirit is Vepar, or Vephar. He is a Duke Great and Strong and appeareth like a Mermaid. His office is to govern the Waters, and to guide Ships laden with Arms, Armour, and Ammunition, etc., thereon. And at the request of the Exorcist he can cause the seas to be right stormy and to appear full of ships. Also he maketh men to die in Three Days by Putrefying Wounds or Sores, and causing Worms to breed in them. He governeth 29 Legions of Spirits, and his Seal is this, etc.
43187ef1	42	canonical	tier-paraphrase	Vepar Vepar. Also he maketh men to die in Three Days by Putrefying Wounds or Sores, and causing Worms to breed in them.
9f972937	43	canonical	tier-paraphrase	Sabnock. (43.) Sabnock. —The Forty-third Spirit, as King Solomon commanded them into the Vessel of Brass, is called Sabnock, or Savnok. He is a Marquis, Mighty, Great and Strong, appearing in the Form of an Armed Soldier with a Lion’s Head, riding on a pale-coloured horse. His office is to build high Towers, Castles and Cities, and to furnish them with Armour, etc. Also he can afflict Men for many days with Wounds and with Sores rotten and full of Worms. He giveth Good Familiars at the request of the Exorcist. He commandeth 50 Legions of Spirits; and his Seal is this, etc.
72d9402b	43	canonical	tier-paraphrase	Sabnock Sabnock. He giveth Good Familiars at the request of the Exorcist.
825282a1	44	canonical	tier-paraphrase	Shax. (44.) Shax. —The Forty-fourth Spirit is Shax, or Shaz (or Shass). He is a Great Marquis and appeareth in the Form of a Stock-Dove, speaking with a voice hoarse, but yet subtle. His Office is to take away the Sight, Hearing, or Understanding of any Man or Woman at the command of the Exorcist; and to steal money out of the houses of Kings, and to carry it again in 1,200 years. If commanded he will fetch Horses at the request of the Exorcist, or any other thing. But he must first be commanded into a Triangle, △, or else he will deceive him, and tell him many Lies. He can discover all things that are Hidden, and not kept by Wicked Spirits. He giveth good Familiars, sometimes. He governeth 30 Legions of Spirits, and his Seal is this, etc.
38e239ab	44	canonical	tier-paraphrase	Shax Shax. He giveth good Familiars, sometimes.
7393a761	45	canonical	tier-paraphrase	Viné. (45.) Viné. —The Forty-fifth Spirit is Viné, or Vinea. He is a Great King, and an Earl; and appeareth in the Form of a Lion, [22] riding upon a Black Horse, and bearing a Viper in his hand. His Office is to discover Things Hidden, Witches, Wizards, and Things Present, Past, and to Come. He, at the command of the Exorcist will build Towers, overthrow Great Stone Walls, and make the Waters rough with Storms. He governeth 36 Legions of Spirits. And his Seal is this, which wear thou, as aforesaid, etc.
1fd95773	45	canonical	tier-paraphrase	Viné Viné. His Office is to discover Things Hidden, Witches, Wizards, and Things Present, Past, and to Come.
37ee8349	46	canonical	tier-paraphrase	Bifrons. (46.) Bifrons. —The Forty-sixth Spirit is called Bifrons, or Bifröus, or Bifrovs. He is an Earl, and appeareth in the Form of a Monster; but after a while, at the Command of the Exorcist, he putteth on the shape of a Man. His Office is to make one knowing in Astrology, Geometry, and other Arts and Sciences. He teacheth the Virtues of Precious Stones and Woods. He changeth Dead Bodies, and putteth them in another place; also he lighteth seeming Candles upon the Graves of the Dead. He hath under his Command 6 Legions of Spirits. His Seal is this, which he will own and submit unto, etc.
