model	prompt_hash	spirit_id	target_name	rank	target_distance	prompt
ld128tf1024	04ecea4b	23	Aim	47	14853	Aim grounded by goetia: (23.) Aim. —The Twenty-third Spirit is Aim. He is a Great Strong Duke. He appeareth in the form of a very handsome Man in body, but with three Heads; the first, like a Serpent, the second like a Man having two Stars on his Forehead, the third like a Calf. He rideth on a Viper, carrying a Firebrand in his Hand, wherewith he setteth cities, castles, and great Places, on fire. He maketh thee witty in all manner of ways, and giveth true answers unto private matters. He governeth 26 Legions of Inferior Spirits; and his Seal is this, which wear thou as aforesaid, etc.
ld128tf1024	055e8a9b	67	Amdusias	68	15537	Amdusias seal prompt: He giveth Excellent Familiars. Keywords: exorcist according also appearing bend cause causing duke.
ld128tf1024	05bcdb4d	4	Samigina	55	17400	Samigina is Marquis; He appeareth in the form of a little Horse or Ass, and then into Human shape doth he change himself at the request of the Master.; He teaches all Liberal Sciences, and giveth account of Dead Souls that died in sin.; 30.
ld128tf1024	05a73bd7	15	Eligos	22	13803	Eligos seal prompt: —The Fifteenth Spirit in Order is Eligos, a Great Duke, and appeareth in the form of a goodly Knight, carrying a Lance, an Ensign, and a Serpent.
ld128tf1024	0635d4eb	7	Amon	18	15380	Amon grounded by dictionnaire: pos de son âme. On le fit, et la possédée fut guérie. 1 Wierus, in Pseudomonarchia dœmon, 34. MUS MYR Muschat. En Écosse, près d'Edimbourg et des rochers de Salisbury, on remarque une élévation appelée « la butte de Muschat , » ainsi nommée parce que là même un scélérat nommé Muschat coupa la gorge à sa femme. Les témoins indignés le lapidèrent sur le lieu même où il venait de commettre son crime; et la butte s'est formée, dit-on , de l'immense quantité de pierres amon- celées sur l'assassin et sa victime. Or, on pré- tend dans la contrée que Muschat et sa femme sont toujours là-dessous, que la femme a recousu son gosier et qu'ils se querellent encore. Musique céleste. Entre plusieurs découvertes surprenantes que fit Pythagore, on admire sur- tout cette musique céleste que lui seul entendait. Il trouvait les sept tons de la musique dans la distance qui est entre les planètes : de la terre à la lune, un ton; de la lune à Mercure, un demi-
ld128tf1024	06c7147b	14	Leraje	51	16199	Leraje seal prompt: 7 Eligor, alias Abigor, ls agreat Duke, and appeareth asa goodly Knight,carry- ing a ‘Lance, an Enlign,and a Scepter
ld128tf1024	065849f5	34	Furfur	72	14735	Furfur: he teacheth fully Logick, Ethicks, and their parts
ld128tf1024	07221069	60	Vapula	1	13191	Vapula Duke vapeurs chez infernale legions lion monarchie tres 1708 6666 aamon
ld128tf1024	067b1319	6	Valefor	12	15949	Valefor grounded by goetia: (6.) Valefor. —The Sixth Spirit is Valefor. He is a mighty Duke, and appeareth in the shape of a Lion with an Ass’s Head, bellowing. He is a good Familiar, but tempteth them he is a familiar of to steal. He governeth 10 Legions of Spirits. His Seal is this, which is to be worn, whether thou wilt have him for a Familiar, or not.
ld128tf1024	0748e325	53	Camio	32	17750	Camio seal prompt: He giveth True Answers of Things to Come.
ld128tf1024	06a9f7db	11	Gusion	70	13930	Gusion: He appeareth like a Xenopilus.
ld128tf1024	08ca6fbb	51	Balam	58	18952	Balam seal prompt: He maketh men to go Invisible, and also to be Witty.
ld128tf1024	079763cb	3	Vassago	8	15910	Vassago is Mighty Prince; Vassago has a distinct Goetic appearance; This Spirit is of a Good Nature, and his office is to declare things Past and to Come, and to discover all things Hid or Lost.; 26. Keywords: discover good governeth legions lost mighty office past.
ld128tf1024	0a367f8b	26	Bune	19	15402	Bune seal prompt: Il a la forme d'un dragon avec trois têtes, dont la troisième seulement est celle d'un homme.
ld128tf1024	07a48b95	56	Gremory	22	16167	Gremory is Duke; He is a Duke Strong and Powerful, and appeareth in the Form of a Beautiful Woman, with a Duchess’s Crown tied about her waist, and riding on a Great Camel.; and to procure the Love of Women both Young and Old.; 26.
ld128tf1024	0a80cda3	36	Stolas	47	18025	Stolas Great and Powerful Prince legions appearing many exorcift fhape governeth great herbs image prince
ld128tf1024	07ccdf73	10	Buer	8	19968	Buer grounded by dictionnaire: pan; de vingt-trois ducs, savoir : Agarès, Busas, Gusoyn, Bathym, Eligor, Valefar, Zepar, Sytry, Bime , Berith, Astaroth, Vepar, Ghax, Pricel, Murmur, Focalor, Gomory, Amduscias , Aym , Orobas , Vapula , Hauros , Alocer ; de treize marquis , Aamon , Loray, Na- berus , Forneus , Ronève, Marchocias, Sabnac, Gamigyn, Arias, Andras, Androalphus, Cime- ries, Phœnix; de dix comtes, Barbatos, Botis, Morax , Ipès , Furfur, Raym , Halphas , Vine , Decarabia, Zalcos; de onze présidents, Marbas, Buer, Glasialabolas , Forças, Malphas , Gaap , Caym , Volac , Oze , Amy, Haagenti , et de plu- sieurs chevaliers , comme Furcas, Bifrons, etc. Les forces deja monarchie infernale se compo- sent de 6666 légions, chacune de 6666 démons; ce qui ne fait que 44,635,566 combattants. Mais chacun de ces démons a sous lui des bandes. Voy. Cour. Monde. Voy. Origines. Monkir et Nékir, anges qui, selon la croyance des musulmans, interrogent le mort aussitôt qu'il est dans le sépulcre , et com
ld128tf1024	0c1ea26d	19	Sallos	46	21425	Sallos Great and Mighty Duke women appeareth causeth crocodile crown ducal duke form gallant governeth
ld128tf1024	08833c61	17	Botis	17	17069	Botis: He appeareth at the first show in the form of an ugly Viper, then at the command of the Magician he putteth on a Human shape with Great Teeth, and two Horns, carrying a bright and sharp Sword in his hand.
ld128tf1024	0cc72d69	39	Malphas	55	15121	Malphas: Mighty President. Keywords: will appeareth bring build crow deceive desires done doth enemies.
ld128tf1024	08a41b81	57	Osé	5	15270	Osé: He is a Great President, and appeareth like a Leopard at the first, but after a little time he putteth on the Shape of a Man.
ld128tf1024	0d39be8d	54	Murmur	57	18019	Murmur seal prompt: His Office is to teach Philosophy perfectly, and to constrain Souls Deceased to come before the Exorcist to answer those questions which he may wish to put to them, if desired. Keywords: accident action agares ainsi alocer amduscias andras androalphus.
ld128tf1024	09dce62f	12	Sitri	8	19074	Sitri: P*v!- he inflameth a man with awomans love, and alfo ftitreth up women to love men
ld128tf1024	0d8ec5af	52	Alloces	41	17306	Alloces seal prompt: He is a Duke, Great, Mighty, and Strong, appearing in the Form of a Soldier [24] riding upon a Great Horse.
ld128tf1024	0b82cf2f	58	Amy	58	17387	Amy: He is a Great President, and appeareth at first in the Form of a Flaming Fire
ld128tf1024	0f31cf23	37	Phenex	30	19276	Phenex seal prompt: Then he will speak marvellously of all wonderful Sciences if required. Keywords: also appeareth bird child excellent exorcist good governeth.
ld128tf1024	0bbc8e39	45	Viné	72	17866	Viné grounded by dictionnaire: enserai ; » qu'ayant ensuite enterré la poule à un pied de profondeur, le même jour le farfadet avait pris soin de l'horloge et des chevaux, et que de temps en temps lui-même faisait des trouvailles qui lui valaient quelque chose... » L'historien semble croire que ce lutin était une mandragore. Les cabalistes n'y voient autre chose qu'un sylphe. Berkeley, savant irlandais, — supposé, nous l'espérons, — que M. Michel Masson a repré- senté comme voulant usurper la puissance di- vine et faire un géant haut, comme Og, de quinze pieds; il séquestra pour cela un enfant, et au moyen d'un régime alimentaire habilement combiné, il fit grandir cet enfant, qui, en crois- sant prodigieusement, devint inerte et stupide. Le savant n'y prenait pas garde ; il voulait un géant, et il caressait l'espoir d'entendre dire un jour : Og, le roi de Bazan, est retrouvé. Le géant de Berkeley a quinze pieds ! Mais ce que Dieu ne veut pas n'a pas lieu. La victime du savant,
ld128tf1024	0faff013	9	Paimon	53	13763	Paimon seal prompt: He appeareth in the form of a Man sitting upon a Dromedary with a Crown most glorious upon his head.
ld128tf1024	0d73842b	33	Gaap	31	16973	Gaap is Great President; Il se montre à midi lorsqu'il prend la forme humaine.; He can cause Love or Hatred, also he can teach thee to consecrate those things that belong to the Dominion of Amaymon his King.; 66.
ld128tf1024	1023b335	63	Andras	29	20005	Andras: Great Marquis. Keywords: black aloft angel appearing both bright care discords exorcist fellows.
ld128tf1024	0df485a9	2	Agares	61	16515	Agares grounded by scot: Devils and Spi- rits; of their [everal fegniories and degrees; a ftrange difcourfe worth the reading. ! Heir firft and principal King (which is of the power of the Eaft) is called sotpmens notes la Raell ;' who when he is conjured up, appeareth with three heads; the of Conjuration, 9° firft like a Toad ; the fecond like a Man; the third like a Cat, He Baek, = fpeaketh with a hoarfe voice; he maketh a man go invilible ; he hath under. his obedience and rule Sixty and fix Legions of Devils. ae The firtt Duke under the power of the Eaft, is named Agares; he comethup spares, mildly sin the likenefs of a fair old man, riding upon a Crocodile, and carrying a Hawk on his fift; he teacheth prefently all manner of tongues ; “he fetcheth back all fuch as run away, and makethchem run that ftand ftill ; he overthroweth all Dignities fupernatural and temporal; he maketh Earth- quakes, and is of the order of Vertues, having under his regiment Thirty one | "ea aaa Legions. leigibnn } ma ., aA X Vea Marbasy EAU RAMEE TMT este Ly et aN ex ee Ro Book XV. . The Difcovery Devils and Spirits
ld128tf1024	11356935	42	Vepar	60	15222	Vepar Duke legions great leur like separ appear armour bringeth dessus duke
ld128tf1024	0e1ed019	29	Astaroth	69	15513	Astaroth grounded by dictionnaire: crime a son démon. Assassins, secte d'Ismaéliens qu'on enivrait de hrachicketà qui l'on faisait un dogme de tuer. Le souverain des Assassins s'appelait le cheick ou Vieux de la Montagne. Il est célèbre dans l'histoire des croisades. Voy. Thuggisme. Assheton (Guillaume), théologien anglican, 1 Delancre, Tableau de l'inconstance des mauvais anges, etc., liv. II, dise. i. mort en 1711. Il publia, en 1691, un petit ou- vrage peu recherché, intitulé La possibilité des apparitions. Astaroth , grand-duc très-puissant aux enfers. Il a la figure d'un ange fort laid , et se montre chevauchant sur un dragon infernal ; il tient à la main gauche une vipère. Quelques magiciens di- sent qu'il préside à l'Occident , qu'il procure l'a- mitié des grands seigneurs, et qu'il faut l'évo- quer le mercredi. Les Sidoniens et les Philistins l'adorèrent. Il est, dit-on, grand trésorier aux en- fers. Wierus nous apprend qu'il sait le passé et l'avenir, qu'il répond volontiers aux quest
ld128tf1024	1213a171	49	Crocell	13	17398	Crocell Duke great waters aforesaid although angel appeareth baths command crokel declared Keywords: forty geometry governeth great waters aforesaid although angel.
ld128tf1024	0e2f2687	68	Belial	29	14793	Belial: hefs found inthe form of an Exorci
ld128tf1024	1364cc9b	31	Foras	21	13282	Foras seal prompt: If desired he maketh men invisible, [19] and to live long, and to be eloquent. Keywords: discover eloquent ethics first form give herbs human.
ld128tf1024	0f466ae3	46	Bifrons	53	16182	Bifrons: and Allocer can procure the love ofany Woman
ld128tf1024	166f4615	66	Cimejes	23	20034	Cimejes seal prompt: He is a Marquis, Mighty, Great, Strong and Powerful, appearing like a Valiant Warrior riding upon a goodly Black Horse.
ld128tf1024	0fd2132f	47	Uvall	71	20231	Uvall is Duke; and appeareth in the Form of a Mighty Dromedary at the first, but after a while at the Command of the Exorcist he putteth on Human Shape, and speaketh the Egyptian Tongue, but not perfectly.; [23] His Office is to procure the Love of Woman, and to tell Things Past, Present, and to Come.; 37. Keywords: dromedary duke egyptian exorcist first foes form forty.
ld128tf1024	1692ba55	20	Purson	33	14598	Purson seal prompt: His appearance is comely, like a Man with a Lion’s face, carrying a cruel Viper in his hand, and riding upon a Bear. Keywords: creation cruel discover things order partly action aerial.
ld128tf1024	13190b93	1	Bael	15	13818	Bael: souvent, néanmoins, il se montre sous la figure d'une mouche d'une extrême grosseur.
ld128tf1024	17469f8b	62	Volac	59	18897	Volac seal prompt: His Office is to give True Answers of Hidden Treasures, and to tell where Serpents may be seen.
ld128tf1024	173261a5	24	Naberius	56	16642	Naberius: he maketh aman amiableand:cun- ning in all Arts, and {pecially in Rhetorick
ld128tf1024	17ccbadf	69	Decarabia	1	17479	Decarabia seal prompt: His Office is to discover the Virtues of Birds and Precious Stones, and to make the Similitude of all kinds of Birds to fly before the Exorcist, singing and drinking as natural Birds do.
ld128tf1024	20f15eef	65	Andrealphus	13	15420	Andrealphus: he maketha manto be a fubtil Difputer,and cunning in Aftro- nomy,.and transforimeth a man into the likenefs ofa bird, and there are under him Thirty Legions.
ld128tf1024	1b3ec44f	43	Sabnock	59	15734	Sabnock seal prompt: His office is to build high Towers, Castles and Cities, and to furnish them with Armour, etc.
ld128tf1024	261229ad	64	Haures	11	19304	Haures grounded by goetia: (64.) Haures , or Hauras , or Havres , or Flauros .—The Sixty-fourth Spirit is Haures, or Hauras, or Havres, or Flauros. He is a Great Duke, and appeareth at first like a Leopard, Mighty, Terrible, and Strong, but after a while, at the Command of the Exorcist, he putteth on Human Shape with Eyes Flaming and Fiery, and a most Terrible Countenance. He giveth True Answers of all things, Present, Past, and to Come. But if he be not commanded into a Triangle, △, he will Lie in all these Things, and deceive and beguile the Exorcist in these things, or in such and such business. He will, lastly, talk of the Creation of the World, and of Divinity, and of how he and other Spirits fell. He destroyeth and burneth up those who be the Enemies of the Exorcist should he so desire it; also he will not suffer him to be tempted by any other Spirit or otherwise. He governeth 36 Legions of Spirits, and his Seal is this, to be worn as a Lamen, etc.
ld128tf1024	1cb70da3	5	Marbas	64	15104	Marbas seal prompt: He causeth Diseases and cureth them.
ld128tf1024	2809c8d3	38	Halphas	10	14806	Halphas is Great Earl; He is a Great Earl, and appeareth in the Form of a Stock-Dove.; His Office is to build up Towers, and to furnish them with Ammunition and Weapons, and to send Men-of-War [21] to places appointed.; 26. Keywords: prince 6666 appointed cometh demons grand like mais.
ld128tf1024	1db22413	22	Ipos	60	14949	Ipos: Earl. Keywords: angel appeareth bold come earl foot form goose governeth hare.
ld128tf1024	2a9f355f	70	Seere	27	14801	Seere grounded by scot: , fpoken “©” of inthe Pfalms + or as Dii ALontinnm Gods of the Mountains, fet forth and hs 3 S ; rehearfed a te |e eee C ae Een eer oy : < : ( J 1 ¥ ; : * ; | ry Divers Gods. © » Devils and Spirits..5 CuHarsXXIVi «pat ; Fehearfed inthe firtt Book of the Kings : or as Dii Ter¢arune, or Dii Populorzm, x King. 20. i Gods of the Earth or of People,mentioned in the-fecond of the Chronicles,32,.and 2 Chron. 32. ain the firit of the Chronicles,16. or as Dii Terre, Gods of the Earth, in Judges 3. } es 16. or as Dii filiorum Seir, Gods of the fons 6f :Seir .in the fecond .of the- Chyonj- Spee os _¢les,25. or as Dii Alieni; Strange Gods, which are fo.often mentioned in the , King 5350+ Scriptures. Sok ASM ar saree aeons het eran? its 4 ‘Surely, there were inthe Popifh Church moreof thefe in number, more in - common, more in private, more publike, more for lewd purpofes, and more for, -no purpofe, thanamong all the Heathen, either heretofore, or at.this prefent time - tor I dare undertake, that for every Heathen Idol I might produce twen- ; ! ty out of the Popifh Church.
ld128tf1024	306d6d1b	25	Glasya-Labolas	34	17780	Glasya-Labolas seal prompt: He is a Mighty President and Earl, and showeth himself in the form of a Dog with Wings like a Gryphon. Keywords: arts author bloodshed both causeth come command desired.
ld128tf1024	3333a21f	59	Oriax	46	18329	Oriax: His Office is to teach the Virtues of the Stars, and to know the Mansions of the Planets, and how to understand their Virtues.
ld128tf1024	3a7a3c73	35	Marchosias	55	21713	Marchosias: Great and Mighty Marquis. Keywords: appearing chief command dominations exorcist fifth fighter fire first form.
ld128tf1024	35f6427f	40	Raum	59	15667	Raum: he maketh the beft difputers
ld128tf1024	48441393	72	Andromalius	1	15922	Andromalius seal prompt: His Office is to bring back both a Thief, and the Goods which be stolen
ld128tf1024	4a538d01	18	Bathin	18	20022	Bathin is Mighty and Strong Duke; He is a Mighty and Strong Duke, and appeareth like a Strong Man with the tail of a Serpent, sitting upon a Pale-Coloured Horse.; Bathin has an office described in the source texts; 30.
ld128tf1024	5c32702f	8	Barbatos	55	14922	Barbatos seal prompt: 11 apprend à deviner par le chant des oiseaux, le mugissement des taureaux, les aboiements des chiens et les cris des divers animaux.
